Gene Name	log2FoldChange	pvalue	padj
SH3GL1	-1.031486608	2.17E-06	0.000769152
UNKL	-1.041240318	2.40E-06	0.000833749
NRIP1	-5.503424819	2.49E-06	0.000847108
UFM1	1.173124063	2.58E-06	0.000858927
NMRAL1	-2.866256587	2.65E-06	0.000862555
LOC101059948	-1.752059868	2.71E-06	0.0008652
FITM2	-3.585473224	2.92E-06	0.000895351
ZBTB8OS	2.897621634	2.92E-06	0.000895351
SARS2	-2.545294648	3.02E-06	0.000907021
NCS1	-2.160634618	3.10E-06	0.000914164
SCUBE1-AS1	1.264354296	3.18E-06	0.00091848
MST1	-0.901336964	3.23E-06	0.00091848
TBC1D30	4.434162224	3.39E-06	0.000921319
RSRP1	1.959537638	3.42E-06	0.000921319
MIR3605	-3.341355278	3.42E-06	0.000921319
CUL5	2.934627436	3.53E-06	0.000921319
ME3	1.549599584	3.54E-06	0.000921319
LOC101927789	1.842271903	3.63E-06	0.000929472
INO80C	1.381732161	3.87E-06	0.000973035
SIPA1L3	1.883295573	3.92E-06	0.000973035
IGF2	-3.110283221	4.10E-06	0.000993626
DMRT2	-4.089318084	4.13E-06	0.000993626
HPCAL1	-3.796533374	4.38E-06	0.001036646
CELSR1	-2.291525398	4.47E-06	0.001042228
CTBP1-AS	-2.263137469	5.06E-06	0.001162242
ABCA2	-4.196119765	5.20E-06	0.001165557
SATB2	4.668794969	5.22E-06	0.001165557
MECR	-3.324598081	5.38E-06	0.001179478
RAB20	-4.987604186	5.44E-06	0.001179478
USP4	1.103687629	5.66E-06	0.001211694
MIR4782	2.40628339	5.84E-06	0.001218945
COX6B1	-4.991380828	5.86E-06	0.001218945
MLLT3	5.161561305	5.93E-06	0.001218945
PARP4	-2.412971159	6.03E-06	0.001223889
ZNF287	-2.768404008	6.20E-06	0.001241312
CCDC3	-2.506988453	6.47E-06	0.001264868
CRTC2	-3.731445354	6.48E-06	0.001264868
EPHA3	5.598553766	6.63E-06	0.001278642
UBE2V2	-2.873165404	6.74E-06	0.001279136
PLA2G4C	-1.968706749	6.81E-06	0.001279136
LINC01239	2.389130834	6.89E-06	0.001279136
INHBA-AS1	3.528176632	6.96E-06	0.001279136
MEF2C-AS2	1.777734675	7.15E-06	0.001287717
SEMA3F-AS1	1.84848454	7.17E-06	0.001287717
TET2-AS1	1.628422919	7.29E-06	0.001294727
SNHG12	1.811475216	7.39E-06	0.001297558
C2CD6	3.056193246	7.87E-06	0.001366023
NPEPL1	-2.629949302	8.35E-06	0.001432982
C8G	-1.198632119	9.02E-06	0.00153071
CELF2	5.926639809	9.26E-06	0.001555459
SMPD5	-5.712640339	9.54E-06	0.001564374
RTL6	2.566795605	9.77E-06	0.001564374
ADAMTS2	-2.521610993	9.78E-06	0.001564374
PCP2	-1.412038236	9.80E-06	0.001564374
LINC02021	-1.443681895	9.95E-06	0.001564374
ADAM7	3.119073917	9.96E-06	0.001564374
KIF14	2.400931706	1.00E-05	0.001564374
ZNRF3	2.21352488	1.01E-05	0.001564374
PANTR1	3.885347055	1.03E-05	0.0015839
PDIA6	-5.731243767	1.05E-05	0.001584941
DMTF1	1.736118602	1.09E-05	0.001622345
LOC105371730	-7.924832369	1.10E-05	0.001622345
ABHD12	1.930089905	1.10E-05	0.001622345
RILPL1	1.135146369	1.14E-05	0.001659293
DPY19L2	-0.942461029	1.15E-05	0.001662488
ABCA7	-1.817346415	1.22E-05	0.001747017
TMED6	-1.763218369	1.24E-05	0.001763838
WIPI1	1.380235964	1.27E-05	0.001786084
SNAP47	1.601004436	1.30E-05	0.001795002
POU3F3	1.874902962	1.30E-05	0.001795002
RECQL4	-1.238501941	1.36E-05	0.001857827
PTPMT1	-0.865788414	1.43E-05	0.001932852
PHF7	-0.976655408	1.44E-05	0.001932852
NUDC	-1.040752266	1.46E-05	0.001932852
FABP1	1.514330903	1.46E-05	0.001932852
KLF7	2.398704604	1.57E-05	0.002053991
POC5	1.671378789	1.58E-05	0.002053991
SMIM5	-1.035645464	1.60E-05	0.002053991
TSPAN4	-1.517101195	1.62E-05	0.002053991
LOC101928087	-2.432360763	1.64E-05	0.002053991
LINC00508	1.087917034	1.64E-05	0.002053991
COA3	-2.409355331	1.64E-05	0.002053991
ATP6V1B2	2.660983229	1.70E-05	0.002101875
GOLGA6L4	1.926379234	1.76E-05	0.00215556
C10orf67	-3.258101793	1.77E-05	0.00215556
PRKAR1B	-4.646406968	1.82E-05	0.00220277
PCDH20	-3.111024025	1.84E-05	0.00220277
SERINC1	2.689149679	1.85E-05	0.00220277
RNF146	3.596717548	1.89E-05	0.002234332
SRC	-3.782224613	1.91E-05	0.002234332
PLOD3	3.441777947	1.92E-05	0.002234332
MTA3	-3.060701244	1.94E-05	0.002241535
LAMTOR1	1.435107279	1.99E-05	0.002279179
PRPS1	2.06126344	2.00E-05	0.002279179
GIPC3	-2.790731792	2.05E-05	0.002313346
CEROX1	-2.572902274	2.06E-05	0.002313346
TTC24	-2.305171379	2.16E-05	0.002415258
LUC7L2	1.049635441	2.23E-05	0.002474394
EPOP	2.347610372	2.25E-05	0.002480347
DHX34	-2.126448447	2.33E-05	0.002532718
JMY	-2.487068047	2.33E-05	0.002532718
GPR82	2.19493274	2.37E-05	0.002539881
CLDN18	-2.002024308	2.37E-05	0.002539881
SARDH	-4.659164881	2.41E-05	0.002560282
ATG16L1	-3.443454575	2.43E-05	0.002560282
SPPL3	-3.224697758	2.44E-05	0.002562977
ZNF345	-3.482449273	2.51E-05	0.002617132
LINC00884	1.475509346	2.55E-05	0.002637289
FYTTD1	1.433683736	2.61E-05	0.00268225
LOC100129931	2.457659867	2.72E-05	0.002770228
TTC3-AS1	-1.949287891	2.75E-05	0.002770228
BDP1	4.511442984	2.75E-05	0.002770228
HNRNPU	2.307959676	2.77E-05	0.002770228
BDH1	-1.921353625	2.78E-05	0.002770228
RBM27	-3.473994822	2.80E-05	0.002771188
RMI2	-2.659107927	2.82E-05	0.002771188
LINC02551	-2.416362542	2.86E-05	0.002787633
SLC25A34	-2.041779339	2.91E-05	0.002820974
SLC4A1AP	1.185881881	2.94E-05	0.002831789
C22orf46	-1.564358947	2.96E-05	0.002835982
SGCE	0.810254641	3.10E-05	0.002922072
PALM	-0.860261853	3.12E-05	0.002922072
COA4	-1.334722889	3.15E-05	0.002922072
DCTN3	-2.076165193	3.17E-05	0.002922072
CLCF1	-0.978749889	3.18E-05	0.002922072
KIF22	-2.162111622	3.18E-05	0.002922072
MAFA-AS1	-1.651261966	3.18E-05	0.002922072
VCAN-AS1	5.22208159	3.20E-05	0.002922072
RHBDD3	4.836517665	3.34E-05	0.00299916
GPATCH8	-2.066162513	3.34E-05	0.00299916
RALGPS1	2.017143486	3.36E-05	0.00299916
PTPN18	-2.482388338	3.39E-05	0.00299916
RGPD8	0.831810175	3.42E-05	0.00299916
ERV3-1	1.710382036	3.43E-05	0.00299916
TMCC2	3.530610779	3.43E-05	0.00299916
DDAH1	-1.504484643	3.44E-05	0.00299916
OSBPL11	1.581637971	3.46E-05	0.00299916
ERV3-1.1	1.35584538	3.57E-05	0.003085342
AGPAT2	-4.797443016	3.60E-05	NA
ATL2	-2.506187087	3.61E-05	0.003095875
ESCO1	2.870919956	3.64E-05	0.003108268
LOC101928441	2.733966427	3.69E-05	0.003129648
ZC3HAV1L	2.638045686	3.71E-05	0.003129648
MFSD13A	-0.624529038	3.73E-05	0.003129759
LSM14A	-2.657537133	3.78E-05	0.003153575
TBC1D15	1.753659901	3.85E-05	0.003194234
CNTFR	-2.832527455	3.86E-05	0.003194234
KBTBD2	1.192384562	3.96E-05	0.003251869
SEMA3A	2.878230974	4.03E-05	0.003261921
MRC2	-2.640471971	4.03E-05	0.003261921
ZNF333	2.321496993	4.07E-05	0.003261921
C3orf22	-3.242998152	4.08E-05	0.003261921
FAM161A	1.241812485	4.09E-05	0.003261921
PSME3	1.977269754	4.09E-05	0.003261921
RIMBP3	-1.572701544	4.13E-05	0.003275705
SIK3	-5.373513138	4.13E-05	NA
SMG6	-3.186071656	4.18E-05	0.003299407
VRK3	-1.912353287	4.22E-05	0.003312436
PRAG1	-1.857347283	4.24E-05	0.003312436
SYT3	-2.729709045	4.33E-05	0.003356541
TAS2R43	2.63565745	4.34E-05	0.003356541
NPIPA2	2.016804402	4.36E-05	0.003356541
MAST2	3.428470174	4.45E-05	0.003409717
TAF1C	-2.66856172	4.47E-05	0.003409717
SIRT7	-0.668401247	4.51E-05	0.003418097
CLU	4.033531903	4.53E-05	NA
GAGE10	-1.999796381	4.54E-05	0.003418097
ADM5	-1.046712305	4.56E-05	0.003418097
PLEKHF1	1.032562774	4.60E-05	0.003418097
ANO8	-1.947477659	4.60E-05	0.003418097
BRAP	-2.530079329	4.70E-05	0.003418097
GP1BA	1.515553876	4.70E-05	0.003418097
DUS1L	-2.273137991	4.71E-05	0.003418097
ARHGDIA	-1.175917842	4.74E-05	0.003418097
CNTN4-AS2	2.655203073	4.76E-05	0.003418097
SLC37A1	-2.607160358	4.78E-05	0.003418097
CXXC4	2.480770129	4.79E-05	0.003418097
NIPAL2	-2.818633531	4.79E-05	0.003418097
NSMCE1	1.186975412	4.79E-05	0.003418097
PCDHB8	1.309544016	4.85E-05	0.003445921
LAMTOR4	-1.395068889	4.88E-05	0.003447365
MAGOH	0.961785477	4.95E-05	0.003474725
ARHGEF19	-1.6656389	4.96E-05	0.003474725
ADGRG1	-0.951392543	4.98E-05	0.003474725
RASGRF2-AS1	-2.19258413	5.01E-05	0.00347615
SLC35C1	-1.714786077	5.24E-05	0.003619021
JHY	3.860406756	5.26E-05	0.003622401
NCAN	-3.136495839	5.29E-05	0.003625198
TPX2	-3.638437298	5.40E-05	0.003683151
DDOST	-2.56014697	5.42E-05	0.003683151
FAHD2CP	1.659002903	5.45E-05	0.003688262
LINC01311	-1.687886378	5.49E-05	0.003697843
LINC00907	-4.90599391	5.53E-05	0.003697843
SNORD17	1.26479049	5.55E-05	0.003697843
RIC8A	-2.70167628	5.56E-05	0.003697843
SLFNL1-AS1	-2.937667701	5.61E-05	0.003705359
ARID4A	1.431267691	5.62E-05	0.003705359
SLC39A8	-2.056258642	5.65E-05	0.003705359
KNDC1	-1.851108087	5.68E-05	0.003713595
C18orf32	2.776150103	5.80E-05	0.00377606
SLC3A2	2.045188702	5.83E-05	0.00377606
SHPK	1.628487196	5.87E-05	0.00377606
LOC105372582	-0.983465384	5.88E-05	0.00377606
C11orf54	0.824612335	5.93E-05	0.00377606
FBN3	-3.402374581	5.94E-05	0.00377606
POMT1	1.34131603	5.95E-05	0.00377606
HRNR	-1.411280865	5.98E-05	0.00377606
NUDT12	2.146917519	5.99E-05	0.00377606
AP2A1	-2.433080705	6.18E-05	0.003853708
ZNF175	2.053326472	6.21E-05	0.003853708
CA5B	-0.805056048	6.24E-05	0.003853708
CIRBP	-0.88379673	6.25E-05	0.003853708
HBG1	-3.15912823	6.28E-05	0.003853708
SMPDL3A	3.066332052	6.29E-05	0.003853708
ADI1	2.52961421	6.29E-05	0.003853708
ZBED5-AS1	1.704583077	6.40E-05	0.003907275
CEP170P1	2.417589444	6.48E-05	0.003911408
PDXP-DT	-2.547758163	6.48E-05	0.003911408
MLEC	-4.233819886	6.49E-05	0.003911408
TMIE	-2.100623353	6.57E-05	0.00391673
SEPTIN2	3.095429165	6.57E-05	0.00391673
YWHAZ	1.586509966	6.59E-05	0.00391673
ODC1	-3.990518041	6.59E-05	0.00391673
TRIM3	-2.234334543	6.72E-05	0.003954744
JOSD1	-3.980940158	6.73E-05	0.003954744
PMM1	-2.153093053	6.73E-05	0.003954744
KIF26B	2.063074803	6.81E-05	0.003981417
NBL1	-7.981200767	6.83E-05	0.003981417
TNFAIP8L1	-2.004680883	6.91E-05	0.004009837
SNORA68B	1.821122692	6.93E-05	0.004011226
C10orf95	-2.726113976	7.07E-05	0.0040609
POLR3B	1.130843566	7.07E-05	0.0040609
LOC100303749	1.314995405	7.21E-05	0.004122908
ZNF326	1.999668121	7.26E-05	0.004140445
SERTM2	4.270342953	7.31E-05	0.004144718
PNMT	-1.945882545	7.32E-05	0.004144718
ALCAM	1.530262421	7.38E-05	0.004147595
TNKS2	2.005565938	7.38E-05	0.004147595
MYCBP2-AS2	2.237594641	7.41E-05	0.004147595
CHD6	-1.441139385	7.51E-05	0.004192142
LEMD2	1.524340005	7.60E-05	0.00421836
THRB-AS2	2.85342765	7.65E-05	0.00421836
SLC30A9	2.57206401	7.66E-05	0.00421836
C21orf62	-1.94697528	7.71E-05	0.00421836
CNKSR3	2.148636439	7.74E-05	0.00421836
CRTAP	2.125105754	7.75E-05	0.00421836
FNBP1L	3.509247381	7.76E-05	0.00421836
ITIH4	-2.023853281	7.78E-05	0.00421836
TMCC1-DT	-1.436854843	7.82E-05	0.004228471
ATP5F1E	-3.300569308	7.92E-05	0.004264475
SLC8A2	-2.008643153	7.99E-05	0.004291582
C17orf78	-1.994985336	8.07E-05	0.004316687
LTN1	2.29242108	8.15E-05	0.004344319
MED15	-1.131820239	8.27E-05	0.004395457
SAMD12	3.882885902	8.45E-05	0.004465139
PRRG3	1.462668742	8.46E-05	0.004465139
BLCAP	1.471402758	8.51E-05	0.004474564
CCSER1	1.965608629	8.54E-05	0.00447762
SNORD35A	-0.643807369	8.65E-05	0.004504969
CDH4	-3.899077302	8.65E-05	0.004504969
CCNO	-4.581184237	8.75E-05	NA
PHC2	-2.535203727	8.82E-05	0.004576471
KLF1	-0.775448328	8.87E-05	0.00459039
MRPS2	-2.021968566	8.96E-05	0.004620673
LRPAP1	-1.886731814	8.99E-05	0.00462069
PPP5D1	-3.297299497	9.10E-05	0.004662341
DLSTP1	1.647015244	9.14E-05	0.00466678
MARCHF7	1.297822903	9.25E-05	0.004706037
ZMAT1	1.986777836	9.30E-05	0.004706772
LOC105369509	-4.49728809	9.31E-05	0.004706772
FAM225A	4.08391469	9.35E-05	NA
ZNF304	1.180254954	9.43E-05	0.004737954
TOMM20	-3.510758471	9.44E-05	0.004737954
LINC02691	-1.62007048	9.46E-05	0.004737954
MVB12A	-1.80468419	9.56E-05	0.00476773
SLC25A1	-4.487747364	9.58E-05	0.00476773
ATP13A5	1.80474522	9.63E-05	0.004772616
ZMAT5	2.519398556	9.65E-05	0.004772616
LINC02346	-1.523316753	9.78E-05	0.004817128
LOC646029	4.13569569	9.81E-05	0.004817128
PKN1	-3.951625385	9.88E-05	0.004837707
SCN1A	3.096288418	9.91E-05	0.004839265
LOC101927815	-1.519438419	0.000100004	0.004866571
IDI1	2.335751582	0.000101193	0.0049091
H1-0	-2.536189015	0.000102205	0.004942883
ZNF329	-0.70483812	0.000102543	0.004943914
KCTD7	1.243534283	0.000103764	0.004987401
EFNB2	-5.213856347	0.000103806	NA
PCMTD1	1.893522375	0.000107256	0.00513783
SLC6A15	1.748347868	0.000107552	0.00513783
RAPGEF3	1.445427328	0.000108041	0.005143309
C9orf129	-1.890716971	0.0001085	0.005143309
LOC107984341	1.33481764	0.00010872	0.005143309
MIR186	0.944286392	0.000108984	0.005143309
SLC4A11	-0.87346929	0.000110132	0.005167486
FNBP1	-1.786561478	0.000110223	0.005167486
LOC101928730	-3.164231615	0.000110488	0.005167486
ZNF341-AS1	-2.927485976	0.00011134	0.005191779
STON2	-3.678646415	0.000112404	0.005216405
SLC39A6	1.373609055	0.000112536	0.005216405
ADAMTS17	-0.807014124	0.000115076	0.005285435
RAD51AP2	-0.672137799	0.000115182	0.005285435
LINC00535	1.600884757	0.000115463	0.005285435
CAMKMT	1.521857592	0.000115574	0.005285435
ZNF580	-2.774710862	0.000115717	0.005285435
DUSP15	-2.762418714	0.000116539	0.005307466
DPP9	-3.195516251	0.000117126	0.005308731
MIR7851	1.949070847	0.000117247	0.005308731
FAM201B	1.852492838	0.000117744	0.005315847
LOC101929439	-1.837586246	0.000118138	0.005316216
TAS2R30	2.156692264	0.000118433	0.005316216
C15orf61	-3.881712002	0.000119158	0.005329577
LMBRD1	2.588449752	0.000119413	0.005329577
DPP6	1.054880233	0.000120659	0.005352234
ARC	-1.532369754	0.000120787	0.005352234
SPIN3	-1.831717383	0.000121173	0.005352234
LMO7DN	2.356678959	0.000121291	0.005352234
SRGAP3	1.724190991	0.000123422	0.005430911
RPL13P5	-1.465400782	0.000124347	0.005456236
ZNF839	1.144268852	0.000125115	0.005462954
DQX1	-2.905363194	0.000126091	0.005462954
GAD1	-2.263463683	0.000126201	0.005462954
RPP38-DT	-2.494438883	0.000126221	0.005462954
LYRM9	-1.803869315	0.000126248	0.005462954
FAM71E2	-1.449036843	0.000130517	0.005632062
TDRD6	-5.23833035	0.000130684	NA
KCTD5	-2.044144544	0.000131335	0.00565175
PDE8A	1.204908545	0.000132156	0.005671462
ALG1	-2.050465132	0.000133414	0.00570291
PTGDS	-2.989176795	0.000133619	0.00570291
MISP	-1.427712206	0.000133994	0.005703345
RSPRY1	2.905545468	0.000134504	0.005704102
ADCY4	1.066890176	0.000134743	0.005704102
CLCN7	-0.711789105	0.000135292	0.005711899
MIR548P	1.982233989	0.000136625	0.005744162
DPP9.1	-5.08954916	0.000136792	0.005744162
ATG9B	-1.451463085	0.000137448	0.005756217
FZD8	-2.24971704	0.00013795	0.005760803
SLC6A12	1.893983561	0.000138295	0.005760803
SART1	-2.846840159	0.000139726	0.005804943
NFRKB	2.010097503	0.000140378	0.005816572
ZCRB1	1.798444579	0.000141443	0.005845204
GPS2	-3.731944508	0.000142097	0.005856708
HAR1A	2.141558223	0.000142504	0.005858052
CBFA2T3	-2.03480487	0.000143254	0.005873412
GAS8-AS1	-3.703351353	0.000143667	0.005874947
KIF3A	3.940870085	0.000143935	NA
BMP2K	-2.590726849	0.000145452	0.005904447
LOC110091777	-0.978409969	0.000145848	0.005904447
CDA	-2.260614487	0.000146653	0.005904447
DLGAP3	-2.751126581	0.000147037	0.005904447
JMJD6	-0.904630163	0.000147134	0.005904447
KCNJ9	0.791798822	0.000147288	0.005904447
ARHGAP27P2	1.549898971	0.000147593	0.005904447
PIGX	-1.375124154	0.000147657	0.005904447
LRFN3	-3.092265366	0.000148034	0.005904447
LINC02751	-2.655979071	0.000148169	0.005904447
GUSBP17	1.742926412	0.000149273	0.005933318
LOC100132813	4.155692147	0.000150276	0.005958027
MIR199B	-1.367342448	0.000151027	0.005972646
SLC7A8	2.302593128	0.000153455	0.00603622
CCT6A	2.266288453	0.000153607	0.00603622
SRP68	-1.055243979	0.000153794	0.00603622
NPHP3-AS1	1.026536061	0.000154445	0.006037288
LMO7	1.657554399	0.000154594	0.006037288
SOGA1	-4.476754152	0.00015502	0.006038823
SLC44A1	1.021637271	0.000156197	0.006058769
KIAA0232	-5.022756887	0.000156308	0.006058769
SMCR5	-1.345030632	0.000158018	0.006096661
CCER2	-0.825196568	0.000158243	0.006096661
B4GALT2	-2.801283502	0.000158456	0.006096661
RBMX	-3.023223818	0.000159195	0.006110048
INTS2	-4.020507643	0.000160221	0.006127009
MYLK3	-1.34636437	0.000160665	0.006127009
SPATA33	-2.119178372	0.000160814	0.006127009
INAFM2	-2.342978372	0.000161426	0.006129848
SOX3	-1.184320085	0.000161673	0.006129848
MIR10527	2.414159099	0.00016226	0.006137206
NDFIP2	3.866600199	0.000163411	NA
MIR4746	-2.729291705	0.000163673	0.006171875
WDR81	-2.3582009	0.000163967	0.006171875
LINC01424	2.63343382	0.000165682	0.006221449
DDHD1-DT	1.5865235	0.000168128	0.006298162
ZKSCAN1	1.250910735	0.00016891	0.006312319
MIR6796	-1.075837491	0.0001699	0.00631686
CGGBP1	2.002492762	0.000170002	0.00631686
NAA25	-2.039243742	0.000170245	0.00631686
PINK1	-2.188451052	0.000170737	0.006320084
ARHGEF37	-3.790848034	0.000171889	0.006347703
MC1R	-1.362805146	0.000173294	0.006348867
BLCAP.1	3.688840088	0.000173889	NA
LINC01124	1.918343052	0.000174112	0.006348867
UNC13B	2.099895649	0.000174216	0.006348867
PDK2	-3.753766619	0.00017445	0.006348867
PRPF8	3.04837567	0.000174582	0.006348867
SELENOM	2.175726875	0.000174659	0.006348867
DDX49	-3.573109455	0.000174878	0.006348867
TSSK6	-0.952988751	0.000175404	0.006348867
MIR9-1HG	2.151253906	0.000175578	0.006348867
SNORA94	-0.922806244	0.000176276	0.006359379
HDAC2	2.761161708	0.00017683	0.006361757
CHMP1B2P	2.126549063	0.000177157	0.006361757
MTCH1	-4.289718882	0.000177612	NA
FAM182A	2.788967013	0.000178274	0.00638672
GUSBP16	2.221427134	0.00017867	0.00638672
ARHGAP28	-4.221359327	0.000179053	NA
ARMC1	3.072946658	0.000179081	0.006386821
CIBAR1	1.746303447	0.000182198	0.006483171
GYPE	-2.534386451	0.000183315	0.006494543
SGCA	-2.00581416	0.000183349	0.006494543
LRRC3	-2.586423174	0.000184219	0.006510588
RP1	-1.029284245	0.000185886	0.006532332
DDAH1.1	-2.774115013	0.000186067	0.006532332
MEG8	-1.838069367	0.000186131	0.006532332
MIR7-3HG	-1.814293635	0.000186725	0.006532332
LINC00910	-1.594195231	0.000186925	0.006532332
CACNA1G-AS1	-2.556591877	0.000187461	0.006536442
E2F5-DT	2.033142163	0.000187879	0.006536442
ASCL2	2.868499309	0.000188638	0.006548249
MIR647	-1.476718368	0.00018926	0.006555277
TUBB8	-2.252309761	0.000189788	0.006559006
IRF1-AS1	1.63351058	0.000192516	0.006588371
KIAA0319L	-0.851725423	0.000193033	0.006588371
ADPGK-AS1	1.263538109	0.000193035	0.006588371
SF3A2	-0.977754525	0.000193424	0.006588371
SIAE	2.249392866	0.000193426	0.006588371
VMAC	-1.392229926	0.000193477	0.006588371
CNTNAP2	1.778674308	0.00019359	0.006588371
TBC1D22A	-2.3784452	0.000194996	0.006621818
TMEM198	-2.062945841	0.000195723	0.00663208
TRAFD1	2.447990221	0.000197991	0.006694395
MAG	-3.232267512	0.000201883	0.006811259
P2RX6P	-4.100830827	0.000203039	0.00683549
TMCO4	-2.323550425	0.000204499	0.006869854
ACAD8	-1.893798405	0.000205292	0.006881685
ASGR1	-3.064898868	0.000206572	0.006898098
GRIFIN	-1.185811188	0.000206666	0.006898098
LINC01864	-2.468155117	0.000207123	0.006898098
MICU1	-2.44558794	0.000207548	0.006898098
RNF10	-2.430605726	0.00020879	0.006924652
EPHB4	-2.013991722	0.000211358	0.006988715
MED17	1.061774246	0.000211617	0.006988715
WNK2	-1.019178871	0.000212159	0.006991861
LOC105377975	-3.507151042	0.000213619	0.007025133
POLK	1.791438413	0.000215144	0.007048476
OR2S2	-1.716503791	0.000215231	0.007048476
NUP153	-2.14162487	0.000216283	0.0070681
ICA1L	2.0927286	0.000217381	0.007082772
CACNA1E	2.935019074	0.000217638	0.007082772
TRMT1L	1.585481359	0.000218097	0.007082943
FRMD3	2.399765162	0.000219792	0.007123171
DGKZ	-3.739118634	0.000221388	0.007126801
CCDC78	-2.510111788	0.000222181	0.007126801
ZBTB26	1.519206471	0.000222266	0.007126801
LINC01915	-2.977272535	0.000223934	0.007126801
COQ3	2.318172655	0.00022398	0.007126801
PI4K2A	-2.450264233	0.000224696	0.007126801
LOC401463	2.393345795	0.000224837	0.007126801
HIGD1C	2.906656616	0.000224959	0.007126801
TLN1	-1.647442571	0.000225537	0.007126801
GABRQ	-3.551496745	0.000225549	0.007126801
CSRNP3	2.215389099	0.000225657	0.007126801
PHPT1	-2.431687341	0.000225865	0.007126801
B3GAT1-DT	-1.129284149	0.000226283	0.007126801
DGAT1	-0.866317619	0.000226291	0.007126801
GRM5	2.614269174	0.000227036	0.007135862
ELANE	-1.849007576	0.00022755	0.007137662
URGCP	-1.579878847	0.000230807	0.007225316
WFIKKN2	-2.387317167	0.000231942	0.007231909
HBM	-1.961380885	0.000231943	0.007231909
FUT1	-2.248550112	0.000232649	0.007239463
GACAT3	2.981938013	0.000234095	0.007269988
TMEM121B	-2.014831149	0.000234644	0.007271099
GRIN1	-1.623532041	0.000235062	0.007271099
TAS2R19	1.046523516	0.000235901	0.007272094
LRP3	2.768126697	0.000236025	0.007272094
MYH7B	-1.488509612	0.000236683	0.007278016
EFNA2	-1.249471739	0.000237383	0.00728518
YIPF3	-2.516149275	0.000238012	0.007290163
LOC400622	-2.508629036	0.000239197	0.007312118
OR13J1	-1.444478972	0.000240418	0.007318777
OVOL2	3.721720731	0.000240676	0.007318777
HEXIM1	-2.109720604	0.000241155	0.007318777
LINC01678	-1.752985765	0.000241289	0.007318777
SEC24A	-2.045725787	0.000242732	0.007348284
EPC1	1.635511886	0.000245035	0.007375257
LINC02749	-2.030897687	0.000245227	0.007375257
MFHAS1	-1.87540524	0.000245313	0.007375257
SNORA22B	1.251339932	0.000245511	0.007375257
PARS2	-2.877410167	0.000246671	0.007394134
INTS1	-1.970711951	0.000247086	0.007394134
PTPRD	1.856188789	0.000249286	0.007445692
SPATA24	-1.659629756	0.000252283	0.007520825
TUBB2B	1.820289551	0.000253551	0.00753461
RFC3	1.234783559	0.000253957	0.00753461
SHARPIN	-1.194232178	0.000254192	0.00753461
CCT2	2.552276383	0.000256571	0.007590716
IGSF5	1.368100901	0.000257886	0.007603816
TMEM130	-2.562529327	0.000257993	0.007603816
MAEA	-2.897269398	0.000258474	0.007603816
MYB	1.092059256	0.000259401	0.007616734
CEP95	1.18661486	0.000260249	0.00762731
HAUS3	-2.021573329	0.000261462	0.007648487
SPOUT1	-1.428559521	0.000262873	0.007653127
LINCR-0003	1.372120595	0.000262952	0.007653127
NCALD	-3.049520682	0.00026309	0.007653127
PIWIL1	-2.390472671	0.000264459	0.007670018
